,date,x1,x2,high,low,close,width
35,2019-05-02,98983.943359375,99121.1083984375,26454.689453125,26180.359375,26307.7890625,137.1650390625
36,2019-05-03,99121.1083984375,99203.5439453125,26534.9609375,26370.08984375,26504.94921875,82.435546875
37,2019-05-06,99203.5439453125,99424.7041015625,26476.26953125,26033.94921875,26438.48046875,221.16015625
38,2019-05-07,99424.7041015625,99668.298828125,26276.900390625,25789.7109375,25965.08984375,243.5947265625
39,2019-05-08,99668.298828125,99782.6435546875,26118.099609375,25889.41015625,25967.330078125,114.3447265625
40,2019-05-09,99782.6435546875,99966.3935546875,25884.890625,25517.390625,25828.359375,183.75
41,2019-05-10,99966.3935546875,100241.1240234375,26019.3203125,25469.859375,25942.369140625,274.73046875
42,2019-05-13,100241.1240234375,100413.8994140625,25568.060546875,25222.509765625,25324.990234375,172.775390625
43,2019-05-14,100413.8994140625,100566.365234375,25688.9609375,25384.029296875,25532.05078125,152.4658203125
44,2019-05-15,100566.365234375,100757.8408203125,25724.890625,25341.939453125,25648.01953125,191.4755859375
45,2019-05-16,100757.8408203125,100890.5859375,25957.630859375,25692.140625,25862.6796875,132.7451171875
46,2019-05-17,100890.5859375,101036.06640625,25948.740234375,25657.779296875,25764.0,145.48046875
47,2019-05-20,101036.06640625,101131.646484375,25751.7109375,25560.55078125,25679.900390625,95.580078125
48,2019-05-21,101131.646484375,101190.9765625,25898.26953125,25779.609375,25877.330078125,59.330078125
49,2019-05-22,101190.9765625,101252.52734375,25878.2109375,25755.109375,25776.609375,61.55078125
50,2019-05-23,101252.52734375,101417.4775390625,25657.990234375,25328.08984375,25490.470703125,164.9501953125
51,2019-05-24,101417.4775390625,101504.783203125,25670.810546875,25496.19921875,25585.689453125,87.3056640625
52,2019-05-28,101504.783203125,101692.458984375,25717.630859375,25342.279296875,25347.76953125,187.67578125
53,2019-05-29,101692.458984375,101839.0693359375,25231.4609375,24938.240234375,25126.41015625,146.6103515625
54,2019-05-30,101839.0693359375,101914.9638671875,25218.5390625,25066.75,25169.880859375,75.89453125
55,2019-05-31,101914.9638671875,102033.3642578125,25046.310546875,24809.509765625,24815.0390625,118.400390625
56,2019-06-03,102033.3642578125,102160.6845703125,24935.2109375,24680.5703125,24819.779296875,127.3203125
57,2019-06-04,102160.6845703125,102351.1591796875,25343.76953125,24962.8203125,25332.1796875,190.474609375
58,2019-06-05,102351.1591796875,102436.69921875,25544.66015625,25373.580078125,25539.5703125,85.5400390625
59,2019-06-06,102436.69921875,102577.82421875,25800.30078125,25518.05078125,25720.66015625,141.125
60,2019-06-07,102577.82421875,102729.8388671875,26072.75,25768.720703125,25983.939453125,152.0146484375
61,2019-06-10,102729.8388671875,102807.98828125,26210.609375,26054.310546875,26062.6796875,78.1494140625
62,2019-06-11,102807.98828125,102932.888671875,26248.669921875,25998.869140625,26048.509765625,124.900390625
63,2019-06-12,102932.888671875,102994.6083984375,26082.099609375,25958.66015625,26004.830078125,61.7197265625
64,2019-06-13,102994.6083984375,103070.2080078125,26146.91015625,25995.7109375,26106.76953125,75.599609375
65,2019-06-14,103070.2080078125,103157.302734375,26162.279296875,25988.08984375,26089.609375,87.0947265625
66,2019-06-17,103157.302734375,103215.2919921875,26165.779296875,26049.80078125,26112.529296875,57.9892578125
67,2019-06-18,103215.2919921875,103365.0068359375,26527.189453125,26227.759765625,26465.5390625,149.71484375
68,2019-06-19,103365.0068359375,103442.3564453125,26569.75,26415.05078125,26504.0,77.349609375
69,2019-06-20,103442.3564453125,103571.8271484375,26798.630859375,26539.689453125,26753.169921875,129.470703125
70,2019-06-21,103571.8271484375,103672.5771484375,26907.369140625,26705.869140625,26719.130859375,100.75
71,2019-06-24,103672.5771484375,103714.15234375,26806.51953125,26723.369140625,26727.5390625,41.5751953125
72,2019-06-25,103714.15234375,103826.4775390625,26752.310546875,26527.66015625,26548.220703125,112.3251953125
73,2019-06-26,103826.4775390625,103888.33203125,26660.0390625,26536.330078125,26536.8203125,61.8544921875
74,2019-06-27,103888.33203125,103959.2919921875,26607.240234375,26465.3203125,26526.580078125,70.9599609375
75,2019-06-28,103959.2919921875,104017.33203125,26638.349609375,26522.26953125,26599.9609375,58.0400390625
76,2019-07-01,104017.33203125,104154.546875,26890.640625,26616.2109375,26717.4296875,137.21484375
77,2019-07-02,104154.546875,104232.001953125,26787.560546875,26632.650390625,26786.6796875,77.455078125
78,2019-07-03,104232.001953125,104299.2822265625,26966.0,26831.439453125,26966.0,67.2802734375
79,2019-07-05,104299.2822265625,104408.0224609375,26950.810546875,26733.330078125,26922.119140625,108.740234375
80,2019-07-08,104408.0224609375,104455.158203125,26839.140625,26744.869140625,26806.140625,47.1357421875
81,2019-07-09,104455.158203125,104526.22265625,26807.69921875,26665.5703125,26783.490234375,71.064453125
82,2019-07-10,104526.22265625,104611.392578125,26983.44921875,26813.109375,26860.19921875,85.169921875
83,2019-07-11,104611.392578125,104697.45703125,27088.44921875,26916.3203125,27088.080078125,86.064453125
84,2019-07-12,104697.45703125,104796.626953125,27333.7890625,27135.44921875,27332.029296875,99.169921875
85,2019-07-15,104796.626953125,104831.88671875,27364.689453125,27294.169921875,27359.16015625,35.259765625
86,2019-07-16,104831.88671875,104886.1064453125,27398.6796875,27290.240234375,27335.630859375,54.2197265625
87,2019-07-17,104886.1064453125,104948.4462890625,27343.060546875,27218.380859375,27219.849609375,62.33984375
88,2019-07-18,104948.4462890625,105047.45703125,27266.810546875,27068.7890625,27222.970703125,99.0107421875
89,2019-07-19,105047.45703125,105146.0478515625,27342.9609375,27145.779296875,27154.19921875,98.5908203125
90,2019-07-22,105146.0478515625,105215.482421875,27227.76953125,27088.900390625,27171.900390625,69.4345703125
91,2019-07-23,105215.482421875,105297.59765625,27368.810546875,27204.580078125,27349.189453125,82.115234375
92,2019-07-24,105297.59765625,105347.5576171875,27291.0390625,27191.119140625,27269.970703125,49.9599609375
93,2019-07-25,105347.5576171875,105465.5322265625,27298.4296875,27062.48046875,27140.98046875,117.974609375
94,2019-07-26,105465.5322265625,105510.7568359375,27213.69921875,27123.25,27192.44921875,45.224609375
95,2019-07-29,105510.7568359375,105559.6513671875,27275.849609375,27178.060546875,27221.349609375,48.89453125
96,2019-07-30,105559.6513671875,105636.9013671875,27224.359375,27069.859375,27198.01953125,77.25
97,2019-07-31,105636.9013671875,105917.9267578125,27281.650390625,26719.599609375,26864.26953125,281.025390625
98,2019-08-01,105917.9267578125,106231.3662109375,27175.58984375,26548.7109375,26583.419921875,313.439453125
99,2019-08-02,106231.3662109375,106391.765625,26570.01953125,26249.220703125,26485.009765625,160.3994140625
100,2019-08-05,106391.765625,106759.6904296875,26259.23046875,25523.380859375,25717.740234375,367.9248046875
101,2019-08-06,106759.6904296875,106923.595703125,26038.6796875,25710.869140625,26029.51953125,163.9052734375
102,2019-08-07,106923.595703125,107240.005859375,26073.2109375,25440.390625,26007.0703125,316.41015625
103,2019-08-08,107240.005859375,107412.7607421875,26383.609375,26038.099609375,26378.189453125,172.7548828125
104,2019-08-09,107412.7607421875,107570.6201171875,26413.359375,26097.640625,26287.439453125,157.859375
105,2019-08-12,107570.6201171875,107747.625,26178.94921875,25824.939453125,25896.439453125,177.0048828125
106,2019-08-13,107747.625,108044.4853515625,26426.970703125,25833.25,26279.91015625,296.8603515625
107,2019-08-14,108044.4853515625,108326.23046875,26035.080078125,25471.58984375,25479.419921875,281.7451171875
108,2019-08-15,108326.23046875,108476.275390625,25639.689453125,25339.599609375,25579.390625,150.044921875
109,2019-08-16,108476.275390625,108602.015625,25929.650390625,25678.169921875,25886.009765625,125.740234375
110,2019-08-19,108602.015625,108703.1455078125,26222.3203125,26020.060546875,26135.7890625,101.1298828125
111,2019-08-20,108703.1455078125,108807.205078125,26160.119140625,25952.0,25962.439453125,104.0595703125
112,2019-08-21,108807.205078125,108870.48046875,26268.3203125,26141.76953125,26202.73046875,63.275390625
113,2019-08-22,108870.48046875,109015.365234375,26388.779296875,26099.009765625,26252.240234375,144.884765625
114,2019-08-23,109015.365234375,109421.919921875,26320.2890625,25507.1796875,25628.900390625,406.5546875
115,2019-08-26,109421.919921875,109534.349609375,25941.25,25716.390625,25898.830078125,112.4296875
116,2019-08-27,109534.349609375,109700.4345703125,26054.01953125,25721.849609375,25777.900390625,166.0849609375
117,2019-08-28,109700.4345703125,109902.5048828125,26041.5703125,25637.4296875,26036.099609375,202.0703125
118,2019-08-29,109902.5048828125,110014.0693359375,26408.83984375,26185.7109375,26362.25,111.564453125
119,2019-08-30,110014.0693359375,110123.583984375,26514.619140625,26295.58984375,26403.279296875,109.5146484375
120,2019-09-03,110123.583984375,110233.603515625,26198.259765625,25978.220703125,26118.01953125,110.01953125
121,2019-09-04,110233.603515625,110292.55859375,26362.349609375,26244.439453125,26355.470703125,58.955078125
122,2019-09-05,110292.55859375,110409.1337890625,26836.30078125,26603.150390625,26728.150390625,116.5751953125
123,2019-09-06,110409.1337890625,110485.373046875,26860.869140625,26708.390625,26797.4609375,76.2392578125
124,2019-09-09,110485.373046875,110554.6982421875,26900.830078125,26762.1796875,26835.509765625,69.3251953125
125,2019-09-10,110554.6982421875,110650.8876953125,26909.4296875,26717.05078125,26909.4296875,96.189453125
126,2019-09-11,110650.8876953125,110776.6669921875,27137.0390625,26885.48046875,27137.0390625,125.779296875
127,2019-09-12,110776.6669921875,110877.52734375,27306.73046875,27105.009765625,27182.44921875,100.8603515625
128,2019-09-13,110877.52734375,110919.328125,27277.55078125,27193.94921875,27219.51953125,41.80078125
129,2019-09-16,110919.328125,110989.482421875,27172.869140625,27032.560546875,27076.8203125,70.154296875
130,2019-09-17,110989.482421875,111052.8125,27110.80078125,26984.140625,27110.80078125,63.330078125
131,2019-09-18,111052.8125,111184.2021484375,27161.9296875,26899.150390625,27147.080078125,131.3896484375
132,2019-09-19,111184.2021484375,111288.181640625,27272.169921875,27064.2109375,27094.7890625,103.9794921875
133,2019-09-20,111288.181640625,111422.216796875,27194.75,26926.6796875,26935.0703125,134.03515625
134,2019-09-23,111422.216796875,111512.08203125,27011.0703125,26831.33984375,26949.990234375,89.865234375
135,2019-09-24,111512.08203125,111699.44140625,27079.6796875,26704.9609375,26807.76953125,187.359375
136,2019-09-25,111699.44140625,111829.7919921875,27016.560546875,26755.859375,26970.7109375,130.3505859375
137,2019-09-26,111829.7919921875,111935.4072265625,27015.0703125,26803.83984375,26891.119140625,105.615234375
138,2019-09-27,111935.4072265625,112083.7666015625,27012.5390625,26715.8203125,26820.25,148.359375
139,2019-09-30,112083.7666015625,112157.03125,26998.859375,26852.330078125,26916.830078125,73.2646484375
140,2019-10-01,112157.03125,112399.0263671875,27046.2109375,26562.220703125,26573.0390625,241.9951171875
141,2019-10-02,112399.0263671875,112630.986328125,26438.0390625,25974.119140625,26078.619140625,231.9599609375
142,2019-10-03,112630.986328125,112861.85546875,26205.19921875,25743.4609375,26201.0390625,230.869140625
143,2019-10-04,112861.85546875,113021.3759765625,26590.740234375,26271.69921875,26573.720703125,159.5205078125
144,2019-10-07,113021.3759765625,113137.0263671875,26655.83984375,26424.5390625,26478.01953125,115.650390625
145,2019-10-08,113137.0263671875,113278.03125,26421.810546875,26139.80078125,26164.0390625,141.0048828125
146,2019-10-09,113278.03125,113365.3115234375,26424.310546875,26249.75,26346.009765625,87.2802734375
147,2019-10-10,113365.3115234375,113509.7119140625,26603.310546875,26314.509765625,26496.669921875,144.400390625
148,2019-10-11,113509.7119140625,113669.59765625,27013.970703125,26694.19921875,26816.58984375,159.8857421875
149,2019-10-14,113669.59765625,113732.1728515625,26874.330078125,26749.1796875,26787.359375,62.5751953125
150,2019-10-15,113732.1728515625,113886.6279296875,27120.109375,26811.19921875,27024.80078125,154.455078125
151,2019-10-16,113886.6279296875,113944.1533203125,27058.33984375,26943.2890625,27001.98046875,57.525390625
152,2019-10-17,113944.1533203125,114015.0888671875,27112.16015625,26970.2890625,27025.880859375,70.935546875
153,2019-10-18,114015.0888671875,114139.1484375,27018.25,26770.130859375,26770.19921875,124.0595703125
154,2019-10-21,114139.1484375,114191.673828125,26852.669921875,26747.619140625,26827.640625,52.525390625
155,2019-10-22,114191.673828125,114273.689453125,26946.640625,26782.609375,26788.099609375,82.015625
156,2019-10-23,114273.689453125,114349.634765625,26896.890625,26745.0,26833.94921875,75.9453125
157,2019-10-24,114349.634765625,114458.3544921875,26931.779296875,26714.33984375,26805.529296875,108.7197265625
158,2019-10-25,114458.3544921875,114583.19921875,27015.369140625,26765.6796875,26958.060546875,124.8447265625
159,2019-10-28,114583.19921875,114652.7841796875,27167.880859375,27028.7109375,27090.720703125,69.5849609375
160,2019-10-29,114652.7841796875,114715.8740234375,27165.939453125,27039.759765625,27071.4609375,63.08984375
161,2019-10-30,114715.8740234375,114818.2333984375,27204.359375,26999.640625,27186.689453125,102.359375
162,2019-10-31,114818.2333984375,114953.2734375,27188.369140625,26918.2890625,27046.23046875,135.0400390625
163,2019-11-01,114953.2734375,115055.513671875,27347.4296875,27142.94921875,27347.359375,102.240234375
164,2019-11-04,115055.513671875,115113.2734375,27517.580078125,27402.060546875,27462.109375,57.759765625
165,2019-11-05,115113.2734375,115166.677734375,27560.359375,27453.55078125,27492.630859375,53.404296875
166,2019-11-06,115166.677734375,115225.7978515625,27526.05078125,27407.810546875,27492.560546875,59.1201171875
167,2019-11-07,115225.7978515625,115318.052734375,27774.669921875,27590.16015625,27674.80078125,92.2548828125
